technique_id,technique_name,tactic,severity,bank_relevance,siem_usecase_id,siem_usecase_name,dora_article,tiber_phase,description_de
T1003,Credential Dumping,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,"Erkennung von OS Credential Dumping (LSASS, SAM, NTDS, DCSync)"
T1003.001,OS Credential Dumping: LSASS Memory,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,LSASS Prozess-Memory-Dump via Procdump oder Mimikatz
T1003.002,OS Credential Dumping: Security Account Manager,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,Security Account Manager (SAM) Credential Extraktion
T1003.003,OS Credential Dumping: NTDS,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,Active Directory NTDS.dit Extraktion via Shadow Copy
T1003.006,OS Credential Dumping: DCSync,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,DCSync Angriff via Directory Replication
T1003.007,OS Credential Dumping: Proc Filesystem,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,Credential Dump aus /proc Dateisystem
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,/etc/passwd und /etc/shadow Extraktion
T1040,Network Sniffing,credential-access,critical,sehr_hoch,UC-BANK-002,Credential Access Detection - Network Sniffing,Art.25,Active-Phase,Netzwerk-Traffic-Sniffing fuer Credential-Theft
T1055.002,Process Injection: Portable Executable Injection,credential-access,critical,sehr_hoch,UC-BANK-003,Credential Access Detection - Process Injection: Portable Executable Injection,Art.25,Active-Phase,Code-Injection in laufende Prozesse - Process Injection: Portable Executable Injection
T1110.003,Brute Force: Password Spraying,credential-access,critical,sehr_hoch,UC-BANK-004,Credential Access Detection - Brute Force: Password Spraying,Art.25,Active-Phase,Brute-Force Angriff auf Zugangsdaten - Brute Force: Password Spraying
T1528,Steal Application Access Token,credential-access,critical,sehr_hoch,UC-BANK-005,Credential Access Detection - Steal Application Access Token,Art.25,Active-Phase,Steal Application Access Token
T1552,Unsecured Credentials,credential-access,critical,sehr_hoch,UC-BANK-006,Credential Access Detection - Unsecured Credentials,Art.25,Active-Phase,Ungesicherte Credentials in Dateien/Registry
T1552.001,Unsecured Credentials: Credentials In Files,credential-access,critical,sehr_hoch,UC-BANK-006,Credential Access Detection - Unsecured Credentials,Art.25,Active-Phase,Credentials in Dateien
T1552.002,Unsecured Credentials: Credentials in Registry,credential-access,critical,sehr_hoch,UC-BANK-006,Credential Access Detection - Unsecured Credentials,Art.25,Active-Phase,Credentials aus Windows Registry
T1552.003,Unsecured Credentials: Bash History,credential-access,critical,sehr_hoch,UC-BANK-006,Credential Access Detection - Unsecured Credentials,Art.25,Active-Phase,Credentials aus Befehlshistorie (Bash History)
T1552.004,Unsecured Credentials: Private Keys,credential-access,critical,sehr_hoch,UC-BANK-006,Credential Access Detection - Unsecured Credentials,Art.25,Active-Phase,SSH Private Keys und Zertifikate
T1552.005,Unsecured Credentials: Cloud Instance Metadata API,credential-access,critical,sehr_hoch,UC-BANK-006,Credential Access Detection - Unsecured Credentials,Art.25,Active-Phase,Ungesicherte Credentials in Dateien/Registry - Unsecured Credentials: Cloud Instance Metadata API
T1555.003,Credentials from Password Stores: Credentials from Web Browsers,credential-access,critical,sehr_hoch,UC-BANK-007,Credential Access Detection - Credentials from Password Stores: Credentials f...,Art.25,Active-Phase,Browser-Credentials Extraktion
T1555.004,Credentials from Password Stores: Windows Credential Manager,credential-access,critical,sehr_hoch,UC-BANK-007,Credential Access Detection - Credentials from Password Stores: Credentials f...,Art.25,Active-Phase,Credentials from Password Stores - Credentials from Password Stores: Windows Credential Manager
T1558.002,Steal or Forge Kerberos Tickets: Silver Ticket,credential-access,critical,sehr_hoch,UC-BANK-008,Credential Access Detection - Steal or Forge Kerberos Tickets: Silver Ticket,Art.25,Active-Phase,Kerberos Ticket Manipulation - Steal or Forge Kerberos Tickets: Silver Ticket
T1558.003,Steal or Forge Kerberos Tickets: Kerberoasting,credential-access,critical,sehr_hoch,UC-BANK-008,Credential Access Detection - Steal or Forge Kerberos Tickets: Silver Ticket,Art.25,Active-Phase,Kerberoasting-Angriff
T1055,Process Injection,privilege-escalation,high,hoch,UC-BANK-020,Privilege Escalation Detection - Process Injection,Art.25,Active-Phase,Code-Injection in laufende Prozesse
T1134.001,Access Token Manipulation: Token Impersonation/Theft,privilege-escalation,high,hoch,UC-BANK-021,Privilege Escalation Detection - Access Token Manipulation: Token Impersonati...,Art.25,Active-Phase,Token-Manipulation fuer erhoehte Rechte - Access Token Manipulation: Token Impersonation/Theft
T1548,Abuse Elevation Control Mechanism,privilege-escalation,high,hoch,UC-BANK-022,Privilege Escalation Detection - Abuse Elevation Control Mechanism,Art.25,Active-Phase,UAC-Bypass und Rechteeskalation
T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,privilege-escalation,high,hoch,UC-BANK-022,Privilege Escalation Detection - Abuse Elevation Control Mechanism,Art.25,Active-Phase,UAC-Bypass und Rechteeskalation - Abuse Elevation Control Mechanism: Setuid and Setgid
T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control,privilege-escalation,high,hoch,UC-BANK-022,Privilege Escalation Detection - Abuse Elevation Control Mechanism,Art.25,Active-Phase,User Account Control Umgehung
T1574.010,Hijack Execution Flow: Services File Permissions Weakness,privilege-escalation,high,hoch,UC-BANK-023,Privilege Escalation Detection - Hijack Execution Flow: Services File Permiss...,Art.25,Active-Phase,Schwache Service-Binary-Berechtigungen
T1574.011,Hijack Execution Flow: Services Registry Permissions Weakness,privilege-escalation,high,hoch,UC-BANK-023,Privilege Escalation Detection - Hijack Execution Flow: Services File Permiss...,Art.25,Active-Phase,DLL Hijacking und Execution Flow Manipulation - Hijack Execution Flow: Services Registry Permissions Weakness
T1611,Escape to Host,privilege-escalation,high,hoch,UC-BANK-024,Privilege Escalation Detection - Escape to Host,Art.25,Active-Phase,Erkennung von Escape to Host
T1021.001,Remote Services: Remote Desktop Protocol,lateral-movement,high,sehr_hoch,UC-BANK-030,Lateral Movement Detection - Remote Services: Remote Desktop Protocol,Art.25,Active-Phase,RDP-basiertes Lateral Movement
T1021.002,Remote Services: SMB/Windows Admin Shares,lateral-movement,high,sehr_hoch,UC-BANK-030,Lateral Movement Detection - Remote Services: Remote Desktop Protocol,Art.25,Active-Phase,SMB/Windows Admin Shares Lateral Movement
T1021.003,Remote Services: Distributed Component Object Model,lateral-movement,high,sehr_hoch,UC-BANK-030,Lateral Movement Detection - Remote Services: Remote Desktop Protocol,Art.25,Active-Phase,DCOM-basiertes Lateral Movement
T1021.004,Remote Services: SSH,lateral-movement,high,sehr_hoch,UC-BANK-030,Lateral Movement Detection - Remote Services: Remote Desktop Protocol,Art.25,Active-Phase,SSH-basiertes Lateral Movement
T1021.006,Remote Services: Windows Remote Management,lateral-movement,high,sehr_hoch,UC-BANK-030,Lateral Movement Detection - Remote Services: Remote Desktop Protocol,Art.25,Active-Phase,WinRM-basiertes Lateral Movement
T1037.005,Boot or Logon Initialization Scripts: Startup Items,lateral-movement,high,sehr_hoch,UC-BANK-031,Lateral Movement Detection - Boot or Logon Initialization Scripts: Startup Items,Art.25,Active-Phase,Boot oder Logon Initialization Scripts - Boot or Logon Initialization Scripts: Startup Items
T1105,Ingress Tool Transfer,lateral-movement,high,sehr_hoch,UC-BANK-032,Lateral Movement Detection - Ingress Tool Transfer,Art.25,Active-Phase,Download von Tools auf Zielsystem (Ingress Tool Transfer)
T1550.002,Use Alternate Authentication Material: Pass the Hash,lateral-movement,high,sehr_hoch,UC-BANK-033,Lateral Movement Detection - Use Alternate Authentication Material: Pass the ...,Art.25,Active-Phase,Use Alternate Authentication Material - Use Alternate Authentication Material: Pass the Hash
T1570,Lateral Tool Transfer,lateral-movement,high,sehr_hoch,UC-BANK-034,Lateral Movement Detection - Lateral Tool Transfer,Art.25,Active-Phase,Lateral Tool Transfer
7.A.5,Indicator Removal on Host: File Deletion,defense-evasion,high,hoch,UC-BANK-040,Defense Evasion Detection - Indicator Removal on Host: File Deletion,Art.25,Active-Phase,Erkennung von Indicator Removal on Host: File Deletion
T1006,Direct Volume Access,defense-evasion,high,hoch,UC-BANK-041,Defense Evasion Detection - Direct Volume Access,Art.25,Active-Phase,Erkennung von Direct Volume Access
T1014,Rootkit,defense-evasion,high,hoch,UC-BANK-042,Defense Evasion Detection - Rootkit,Art.25,Active-Phase,Erkennung von Rootkit
T1027,Obfuscated Files or Information,defense-evasion,high,hoch,UC-BANK-043,Defense Evasion Detection - Obfuscated Files or Information,Art.25,Active-Phase,Verschleierte Dateien oder Informationen
T1027.002,Obfuscated Files or Information: Software Packing,defense-evasion,high,hoch,UC-BANK-043,Defense Evasion Detection - Obfuscated Files or Information,Art.25,Active-Phase,Verschleierte Dateien oder Informationen - Obfuscated Files or Information: Software Packing
T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,defense-evasion,high,hoch,UC-BANK-043,Defense Evasion Detection - Obfuscated Files or Information,Art.25,Active-Phase,Verschleierte Dateien oder Informationen - Obfuscated Files or Information: Encrypted/Encoded File
T1036.004,Masquerading: Masquerade Task or Service,defense-evasion,high,hoch,UC-BANK-044,Defense Evasion Detection - Masquerading: Masquerade Task or Service,Art.25,Active-Phase,Tarnung als legitimer Prozess oder Datei (Masquerading) - Masquerading: Masquerade Task or Service
T1036.005,Masquerading: Match Legitimate Name or Location,defense-evasion,high,hoch,UC-BANK-044,Defense Evasion Detection - Masquerading: Masquerade Task or Service,Art.25,Active-Phase,Tarnung als legitimer Prozess oder Datei (Masquerading) - Masquerading: Match Legitimate Name or Location
T1055.001,Process Injection: Dynamic-link Library Injection,defense-evasion,high,hoch,UC-BANK-045,Defense Evasion Detection - Process Injection: Dynamic-link Library Injection,Art.25,Active-Phase,Code-Injection in laufende Prozesse - Process Injection: Dynamic-link Library Injection
T1070,Indicator Removal on Host,defense-evasion,high,hoch,UC-BANK-046,Defense Evasion Detection - Indicator Removal on Host,Art.25,Active-Phase,Loeschung von Indikatoren und Spuren
T1070.001,Indicator Removal on Host: Clear Windows Event Logs,defense-evasion,high,hoch,UC-BANK-046,Defense Evasion Detection - Indicator Removal on Host,Art.25,Active-Phase,Loeschung von Windows Event Logs
T1070.003,Indicator Removal on Host: Clear Command History,defense-evasion,high,hoch,UC-BANK-046,Defense Evasion Detection - Indicator Removal on Host,Art.25,Active-Phase,Loeschung der Befehlshistorie
T1070.004,Indicator Removal on Host: File Deletion,defense-evasion,high,hoch,UC-BANK-046,Defense Evasion Detection - Indicator Removal on Host,Art.25,Active-Phase,Loeschung von Artefakten und Dateien
T1070.006,Indicator Removal on Host: Timestomp,defense-evasion,high,hoch,UC-BANK-046,Defense Evasion Detection - Indicator Removal on Host,Art.25,Active-Phase,Loeschung von Indikatoren und Spuren - Indicator Removal on Host: Timestomp
T1070.008,Email Collection: Mailbox Manipulation,defense-evasion,high,hoch,UC-BANK-046,Defense Evasion Detection - Indicator Removal on Host,Art.25,Active-Phase,Loeschung von Indikatoren und Spuren - Email Collection: Mailbox Manipulation
T1112,Modify Registry,defense-evasion,high,hoch,UC-BANK-047,Defense Evasion Detection - Modify Registry,Art.25,Active-Phase,Windows Registry Modifikation
T1134,Access Token Manipulation,defense-evasion,high,hoch,UC-BANK-048,Defense Evasion Detection - Access Token Manipulation,Art.25,Active-Phase,Token-Manipulation fuer erhoehte Rechte
T1134.002,Access Token Manipulation: Create Process with Token,defense-evasion,high,hoch,UC-BANK-048,Defense Evasion Detection - Access Token Manipulation,Art.25,Active-Phase,Token-Manipulation fuer erhoehte Rechte - Access Token Manipulation: Create Process with Token
T1140,Deobfuscate/Decode Files or Information,defense-evasion,high,hoch,UC-BANK-049,Defense Evasion Detection - Deobfuscate/Decode Files or Information,Art.25,Active-Phase,Deobfuskation/Dekodierung von Dateien
T1202,Indirect Command Execution,defense-evasion,high,hoch,UC-BANK-050,Defense Evasion Detection - Indirect Command Execution,Art.25,Active-Phase,Indirect Command Execution
T1207,Rogue Domain Controller,defense-evasion,high,hoch,UC-BANK-051,Defense Evasion Detection - Rogue Domain Controller,Art.25,Active-Phase,Erkennung von Rogue Domain Controller
T1216,Signed Script Proxy Execution,defense-evasion,high,hoch,UC-BANK-052,Defense Evasion Detection - Signed Script Proxy Execution,Art.25,Active-Phase,Erkennung von Signed Script Proxy Execution
T1218,Signed Binary Proxy Execution,defense-evasion,high,hoch,UC-BANK-053,Defense Evasion Detection - Signed Binary Proxy Execution,Art.25,Active-Phase,System Binary Proxy Execution
T1218.003,Signed Binary Proxy Execution: CMSTP,defense-evasion,high,hoch,UC-BANK-053,Defense Evasion Detection - Signed Binary Proxy Execution,Art.25,Active-Phase,System Binary Proxy Execution - Signed Binary Proxy Execution: CMSTP
T1218.004,Signed Binary Proxy Execution: InstallUtil,defense-evasion,high,hoch,UC-BANK-053,Defense Evasion Detection - Signed Binary Proxy Execution,Art.25,Active-Phase,System Binary Proxy Execution - Signed Binary Proxy Execution: InstallUtil
T1218.005,Signed Binary Proxy Execution: Mshta,defense-evasion,high,hoch,UC-BANK-053,Defense Evasion Detection - Signed Binary Proxy Execution,Art.25,Active-Phase,System Binary Proxy Execution - Signed Binary Proxy Execution: Mshta
T1218.007,Signed Binary Proxy Execution: Msiexec,defense-evasion,high,hoch,UC-BANK-053,Defense Evasion Detection - Signed Binary Proxy Execution,Art.25,Active-Phase,System Binary Proxy Execution - Signed Binary Proxy Execution: Msiexec
T1218.008,Signed Binary Proxy Execution: Odbcconf,defense-evasion,high,hoch,UC-BANK-053,Defense Evasion Detection - Signed Binary Proxy Execution,Art.25,Active-Phase,System Binary Proxy Execution - Signed Binary Proxy Execution: Odbcconf
T1218.009,Signed Binary Proxy Execution: Regsvcs/Regasm,defense-evasion,high,hoch,UC-BANK-053,Defense Evasion Detection - Signed Binary Proxy Execution,Art.25,Active-Phase,System Binary Proxy Execution - Signed Binary Proxy Execution: Regsvcs/Regasm
T1220,XSL Script Processing,defense-evasion,high,hoch,UC-BANK-054,Defense Evasion Detection - XSL Script Processing,Art.25,Active-Phase,XSL Script Processing
T1222,File and Directory Permissions Modification,defense-evasion,high,hoch,UC-BANK-055,Defense Evasion Detection - File and Directory Permissions Modification,Art.25,Active-Phase,Erkennung von File and Directory Permissions Modification
T1222.001,File and Directory Permissions Modification: Windows File and Directory Permissions Modification,defense-evasion,high,hoch,UC-BANK-055,Defense Evasion Detection - File and Directory Permissions Modification,Art.25,Active-Phase,Erkennung von File and Directory Permissions Modification: Windows File and Directory Permissions Modification
T1222.002,"File and Directory Permissions Modification: FreeBSD, Linux and Mac File and Directory Permissions Modification",defense-evasion,high,hoch,UC-BANK-055,Defense Evasion Detection - File and Directory Permissions Modification,Art.25,Active-Phase,"Erkennung von File and Directory Permissions Modification: FreeBSD, Linux and Mac File and Directory Permissions Modification"
T1497.001,Virtualization/Sandbox Evasion: System Checks,defense-evasion,high,hoch,UC-BANK-056,Defense Evasion Detection - Virtualization/Sandbox Evasion: System Checks,Art.25,Active-Phase,Sandbox-Erkennung und Umgehung - Virtualization/Sandbox Evasion: System Checks
T1497.003,Virtualization/Sandbox Evasion: Time Based Evasion,defense-evasion,high,hoch,UC-BANK-056,Defense Evasion Detection - Virtualization/Sandbox Evasion: System Checks,Art.25,Active-Phase,Sandbox-Erkennung und Umgehung - Virtualization/Sandbox Evasion: Time Based Evasion
T1553.005,Subvert Trust Controls: Mark-of-the-Web Bypass,defense-evasion,high,hoch,UC-BANK-057,Defense Evasion Detection - Subvert Trust Controls: Mark-of-the-Web Bypass,Art.25,Active-Phase,Erkennung von Subvert Trust Controls: Mark-of-the-Web Bypass
T1562,Impair Defenses,defense-evasion,high,hoch,UC-BANK-058,Defense Evasion Detection - Impair Defenses,Art.25,Active-Phase,Deaktivierung von Sicherheitsmechanismen
T1562.001,Impair Defenses: Disable or Modify Tools,defense-evasion,high,hoch,UC-BANK-058,Defense Evasion Detection - Impair Defenses,Art.25,Active-Phase,Deaktivierung von AV/EDR
T1562.010,Impair Defenses: Downgrade Attack,defense-evasion,high,hoch,UC-BANK-058,Defense Evasion Detection - Impair Defenses,Art.25,Active-Phase,Deaktivierung von Sicherheitsmechanismen - Impair Defenses: Downgrade Attack
T1562.012,Impair Defenses: Disable or Modify Linux Audit System,defense-evasion,high,hoch,UC-BANK-058,Defense Evasion Detection - Impair Defenses,Art.25,Active-Phase,Deaktivierung von Sicherheitsmechanismen - Impair Defenses: Disable or Modify Linux Audit System
T1564.002,Hide Artifacts: Hidden Users,defense-evasion,high,hoch,UC-BANK-059,Defense Evasion Detection - Hide Artifacts: Hidden Users,Art.25,Active-Phase,Erkennung von Hide Artifacts: Hidden Users
T1564.004,Hide Artifacts: NTFS File Attributes,defense-evasion,high,hoch,UC-BANK-059,Defense Evasion Detection - Hide Artifacts: Hidden Users,Art.25,Active-Phase,Erkennung von Hide Artifacts: NTFS File Attributes
T1574.001,Hijack Execution Flow - DLL Search Order Hijacking,defense-evasion,high,hoch,UC-BANK-059,Defense Evasion Detection - Hijack Execution Flow - DLL Search Order Hijacking,Art.25,Active-Phase,DLL Hijacking und Execution Flow Manipulation - Hijack Execution Flow - DLL Search Order Hijacking
T1612,Build Image on Host,defense-evasion,high,hoch,UC-BANK-059,Defense Evasion Detection - Build Image on Host,Art.25,Active-Phase,Erkennung von Build Image on Host
T1007,System Service Discovery,discovery,medium,mittel,UC-BANK-060,Discovery and Reconnaissance Detection - System Service Discovery,Art.25,Recon-Phase,System Service Discovery
T1010,Application Window Discovery,discovery,medium,mittel,UC-BANK-061,Discovery and Reconnaissance Detection - Application Window Discovery,Art.25,Recon-Phase,Anwendungsfenster-Enumeration
T1012,Query Registry,discovery,medium,mittel,UC-BANK-062,Discovery and Reconnaissance Detection - Query Registry,Art.25,Recon-Phase,Windows Registry Abfrage
T1016,System Network Configuration Discovery,discovery,medium,mittel,UC-BANK-063,Discovery and Reconnaissance Detection - System Network Configuration Discovery,Art.25,Recon-Phase,Netzwerkkonfigurations-Enumeration
T1016.001,System Network Configuration Discovery: Internet Connection Discovery,discovery,medium,mittel,UC-BANK-063,Discovery and Reconnaissance Detection - System Network Configuration Discovery,Art.25,Recon-Phase,Netzwerkkonfigurations-Enumeration - System Network Configuration Discovery: Internet Connection Discovery
T1018,Remote System Discovery,discovery,medium,mittel,UC-BANK-064,Discovery and Reconnaissance Detection - Remote System Discovery,Art.25,Recon-Phase,Erkennung von Remote-System-Discovery und Host-Scanning
